Тип,Название позиции,Продано,Цена,Период,Location
Позиция,Futomaki ŁOSOŚ GRILLOWANY | 6 szt,10,380,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,Futomaki FRESH ROLL | 6 szt,4,140,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,Sushi burger ŁOSOŚ SUROWY,2,120,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,PROMO 1+1=3 Sushi burgery,2,240,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,California TUŃCZYK SUROWY | 8 szt,1,68,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,Yakuza roll | 8 szt,1,81,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,Futomaki WARZYWA W TEMPURZE | 6 szt,1,22,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,Hosomaki ŁOSOŚ GRILLOWANY | 8 szt,1,25,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,Philadelphia tuńczyk | 8 szt,1,82,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,Krewetki w tempurze | 6 szt,1,40,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,Futomaki KRAB W TEMPURZE | 6 szt,1,54,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,Nigiri łosoś | 2 szt,1,25,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,Hosomaki AWOKADO | 8 szt,1,21,02.06.2026-02.06.2026,VIBE SUSHI
Позиция,Hosomaki OGÓREK | 8 szt,1,18,02.06.2026-02.06.2026,VIBE SUSHI
Дополнение,Wasabi,5,10,02.06.2026-02.06.2026,VIBE SUSHI
Дополнение,Sos sojowy 30ml,4,12,02.06.2026-02.06.2026,VIBE SUSHI
Дополнение,Sos unagi 30ml,1,3,02.06.2026-02.06.2026,VIBE SUSHI
