Тип,Название позиции,Продано,Цена,Период,Location
Позиция,Futomaki ŁOSOŚ GRILLOWANY | 6 szt,8,304,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,PROMO 1+1=3 Sushi burgery,3,360,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Zestaw Startowy | 16 szt,3,245.7,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Sushi burger ŁOSOŚ GRILLOWANY,2,130,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Miso z łososiem | 350 ml,2,70,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Futomaki FRESH ROLL | 6 szt,2,70,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Futomaki KREWETKA PANKO | 6 szt / 12 szt,2,74,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Sushi burger KREWETKA GOTOWANA,1,60,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Zestaw Grill | 30 szt,1,135,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Hosomaki ŁOSOŚ SUROWY | 8 szt,1,26,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Hosomaki KREWETKA EBI | 8 szt,1,27,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Zestaw Vibe | 32 szt,1,200,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Hosomaki OGÓREK | 8 szt,1,18,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,California KREWETKA GOTOWANA | 8 szt,1,55,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Grill set | 30 szt,1,170,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Zestaw Philadelphia | 24 szt,1,170,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Sushi burger WEGE,1,50,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Futomaki ŁOSOŚ GRILLOWANY | 6 szt / 12 szt,1,35,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Gunkan Ebi | 2 szt,1,30,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Hosomaki MANGO | 8 szt,1,18,03.06.2026-03.06.2026,VIBE SUSHI
Позиция,Futomaki KREWETKA EBI | 6 szt / 12 szt,1,35,03.06.2026-03.06.2026,VIBE SUSHI
Дополнение,6 szt,4,,03.06.2026-03.06.2026,VIBE SUSHI
Дополнение,Frytki z batatów (z sosem spicy - majo),1,10,03.06.2026-03.06.2026,VIBE SUSHI
