Тип,Название позиции,Продано,Цена,Период,Location
Позиция,Futomaki ŁOSOŚ GRILLOWANY | 6 szt,12,456,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Futomaki FRESH ROLL | 6 szt,8,280,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Futomaki KALMAR PANKO | 6 szt,6,192,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,PROMO 1+1=3 Sushi burgery,5,600,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Hosomaki OGÓREK | 8 szt,2,36,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Sałatka wakame,2,30,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Miso z krewetkami | 350 ml,2,70,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Pałeczki,2,0.2,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Rolka w tempurze KREWETKA EBI | 8 szt,1,60,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Nigiri awokado | 2 szt,1,20,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Futomaki ŁOSOŚ GRILLOWANY | 6 szt / 12 szt,1,35,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Futomaki KREWETKA PANKO | 6 szt / 12 szt,1,37,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Sos unagi 30ml,1,4,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Sos unagi,1,3,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,California z czarnym ryżem ŁOSOŚ SUROWY | 8 szt,1,60,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Yakuza roll | 8 szt,1,65,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Miyagi set | 30 szt,1,140,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Futomaki ŁOSOŚ SUROWY | 6 szt / 12 szt,1,36,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Philadelphia grill | 8 szt,1,65,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Zestaw Amour | 36 szt,1,195,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Sushi burger ŁOSOŚ SUROWY,1,65,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Tokyo roll | 8 szt,1,57,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Philadelphia łosoś | 8 szt,1,55,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Fanta jagoda 0.33l,1,8,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Zestaw Philadelphia + Krabs Burger -50%,1,170,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Sos teriyaki 30ml,1,4,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Tiger roll | 8 szt,1,58,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Feliks roll | 8 szt,1,45,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Philadelphia mix | 8 szt,1,55,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Cheese philadelphia | 8 szt,1,55,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Rolka w tempurze ŁOSOŚ GRILLOWANY | 8 szt,1,60,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Sushi burger ŁOSOŚ GRILLOWANY,1,60,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,Philadelphia tuńczyk | 8 szt,1,62,05.06.2026-05.06.2026,VIBE SUSHI
Позиция,California KREWETKA GOTOWANA | 8 szt,1,55,05.06.2026-05.06.2026,VIBE SUSHI
Дополнение,Sos sojowy 30ml,3,9,05.06.2026-05.06.2026,VIBE SUSHI
Дополнение,Sos spicy majo 30ml,2,6,05.06.2026-05.06.2026,VIBE SUSHI
Дополнение,Sos teriyaki 30ml,2,6,05.06.2026-05.06.2026,VIBE SUSHI
Дополнение,Imbir,2,6,05.06.2026-05.06.2026,VIBE SUSHI
Дополнение,12 szt,2,62,05.06.2026-05.06.2026,VIBE SUSHI
Дополнение,6 szt,1,,05.06.2026-05.06.2026,VIBE SUSHI
Дополнение,Krabs - Burger,1,25,05.06.2026-05.06.2026,VIBE SUSHI
