Тип,Название позиции,Продано,Цена,Период,Location
Позиция,Futomaki ŁOSOŚ GRILLOWANY | 6 szt,4,152,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,PROMO 1+1=3 Sushi burgery,3,360,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,California z czarnym ryżem ŁOSOŚ SUROWY | 8 szt,2,120,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,California KRAB-MIX | 8 szt,2,90,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Red alert roll | 8 szt,1,67,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Fuji roll | 8 szt,1,65,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,California RAINBOW | 8 szt,1,65,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Zestaw Miyagi | 30 szt,1,130,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Green dragon roll | 8 szt,1,62,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Zestaw Grill | 30 szt,1,135,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Tiger roll | 8 szt,1,58,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Futomaki WARZYWA W TEMPURZE | 6 szt,1,22,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Futomaki AWOKADO | 6 szt,1,30,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Atlantic Wave roll | 8 szt,1,60,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Zestaw Hosomaki | 56 szt,1,100,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Yakuza roll | 8 szt,1,65,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Sos unagi,1,3,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Black dragon roll | 8 szt,1,70,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Futomaki KREWETKA EBI | 6 szt / 12 szt,1,35,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Sos spicy majo 30ml,1,4,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Sos unagi 30ml,1,4,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Zestaw Startowy | 16 szt,1,81.9,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Yakuza roll | 8 szt,1,81,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Hosomaki ŁOSOŚ GRILLOWANY | 8 szt,1,25,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Krabs - Burger,1,55,04.06.2026-04.06.2026,VIBE SUSHI
Позиция,Philadelphia mix | 8 szt,1,55,04.06.2026-04.06.2026,VIBE SUSHI
Дополнение,12 szt,1,30,04.06.2026-04.06.2026,VIBE SUSHI
Дополнение,Sos unagi 30ml,1,3,04.06.2026-04.06.2026,VIBE SUSHI
Дополнение,Sos sojowy 30ml,1,3,04.06.2026-04.06.2026,VIBE SUSHI
Дополнение,Wasabi,1,2,04.06.2026-04.06.2026,VIBE SUSHI
