Тип,Название позиции,Продано,Цена,Период,Location
Позиция,Futomaki ŁOSOŚ GRILLOWANY | 6 szt,10,386,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Futomaki KALMAR PANKO | 6 szt,8,256,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Futomaki FRESH ROLL | 6 szt,4,140,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Pałeczki,3,0.3,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,PROMO 1+1=3 Sushi burgery,3,360,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Gunkan ŁOSOŚ SUROWY | 2 szt,2,56,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Sushi burger KREWETKA PANKO,2,120,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Sałatka wakame,1,15,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Gunkan Ebi | 2 szt,1,30,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Hosomaki KANPYO | 8 szt,1,21,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Black dragon roll | 8 szt,1,70,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Nigiri ŁOSOŚ | 2 szt,1,20,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Zestaw Duo | 28 szt,1,160,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Zapieczona rolka FELIX | 8 szt (NOWOŚĆ),1,60,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Zestaw Philadelphia + Krabs Burger -50%,1,170,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,California KRAB-MIX | 8 szt,1,45,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Sos śliwkowy 30ml,1,4,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Zestaw Startowy | 16 szt,1,81.9,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Rolka w tempurze ŁOSOŚ GRILLOWANY | 8 szt,1,60,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Zestaw Sakura | 62 szt,1,295,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Rolka w tempurze ŁOSOŚ SUROWY | 8 szt,1,60,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Nigiri łosoś | 2 szt,1,25,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Vibe roll ŁOSOŚ SUROWY | 8 szt,1,62,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Wege set | 38 szt,1,160,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Rolka w tempurze KREWETKA EBI | 8 szt,1,60,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Duo set | 28 szt,1,180,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Sos unagi 30ml,1,4,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Miso inari tofu | 350 ml,1,33,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Sos sojowy 30ml,1,4,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Miso z łososiem | 350 ml,1,35,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Futomaki FIRE HARMONY | 6 szt,1,58,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Hosomaki AWOKADO | 8 szt,1,21,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Futomaki ŁOSOŚ SUROWY | 6 szt,1,38,07.06.2026-07.06.2026,VIBE SUSHI
Позиция,Futomaki ŁOSOŚ SUROWY | 6 szt / 12 szt,1,36,07.06.2026-07.06.2026,VIBE SUSHI
Дополнение,Sos spicy majo 30ml,4,12,07.06.2026-07.06.2026,VIBE SUSHI
Дополнение,Sos sojowy 30ml,4,9,07.06.2026-07.06.2026,VIBE SUSHI
Дополнение,Imbir,2,3,07.06.2026-07.06.2026,VIBE SUSHI
Дополнение,Wasabi,2,4,07.06.2026-07.06.2026,VIBE SUSHI
Дополнение,Sos teriyaki 30ml,1,3,07.06.2026-07.06.2026,VIBE SUSHI
Дополнение,Krabs - Burger,1,25,07.06.2026-07.06.2026,VIBE SUSHI
Дополнение,6 szt,1,,07.06.2026-07.06.2026,VIBE SUSHI
