Тип,Название позиции,Продано,Цена,Период,Location
Позиция,PROMO 1+1=3 Sushi burgery,6,720,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Nigiri łosoś grillowany | 2 szt,2,52,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Sushi burger KREWETKA PANKO,1,60,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Zestaw Startowy | 16 szt,1,81.9,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,"Zestaw ""Premium sake"" | 38 szt",1,260,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,California TUŃCZYK SUROWY | 8 szt,1,68,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Zestaw Miyagi | 30 szt,1,130,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Hosomaki KREWETKA PANKO | 8 szt,1,30,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Sushi burger ŁOSOŚ SUROWY,1,60,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Futomaki ŁOSOŚ SUROWY | 6 szt / 12 szt,1,36,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Amour Set | 36 szt,1,250,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,California RAINBOW | 8 szt,1,65,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Hosomaki ŁOSOŚ GRILLOWANY | 8 szt,1,25,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Sałatka wakame,1,15,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Hosomaki KANPYO | 8 szt,1,18,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Futomaki KREWETKA EBI | 6 szt / 12 szt,1,35,06.06.2026-06.06.2026,VIBE SUSHI
Позиция,Gunkan ŁOSOŚ SUROWY | 2 szt,1,25,06.06.2026-06.06.2026,VIBE SUSHI
Дополнение,6 szt,2,,06.06.2026-06.06.2026,VIBE SUSHI
Дополнение,Sos sojowy 30ml,1,3,06.06.2026-06.06.2026,VIBE SUSHI
Дополнение,Frytki z batatów (z sosem spicy - majo),1,10,06.06.2026-06.06.2026,VIBE SUSHI
Дополнение,Wasabi,1,2,06.06.2026-06.06.2026,VIBE SUSHI
Дополнение,Imbir,1,3,06.06.2026-06.06.2026,VIBE SUSHI
